X	Y	T	NASA ERBE ALL clear-sky albedo
degree_east	degree_north	months since 1960-01-01	percent
    43.75000    	    68.75000    	    322.5000    	    31.10000    
    46.25000    	    68.75000    	    322.5000    	    31.50000    
    48.75000    	    68.75000    	    322.5000    	    27.40000    
    51.25000    	    68.75000    	    322.5000    	    23.50000    
    53.75000    	    68.75000    	    322.5000    	    65.00000    
    56.25000    	    68.75000    	    322.5000    	    66.10000    
    58.75000    	    68.75000    	    322.5000    	    63.10000    
    61.25000    	    68.75000    	    322.5000    	    64.20000    
    63.75000    	    68.75000    	    322.5000    	    64.80000    
    66.25000    	    68.75000    	    322.5000    	    65.80000    
    68.75000    	    68.75000    	    322.5000    	    69.60000    
    71.25000    	    68.75000    	    322.5000    	    70.20000    
    73.75000    	    68.75000    	    322.5000    	    70.10000    
    76.25000    	    68.75000    	    322.5000    	    68.60000    
    78.75000    	    68.75000    	    322.5000    	    70.90000    
    81.25000    	    68.75000    	    322.5000    	    72.00000    
    83.75000    	    68.75000    	    322.5000    	    70.70000    
    86.25000    	    68.75000    	    322.5000    	    67.20000    
    88.75000    	    68.75000    	    322.5000    	    69.80000    
    91.25000    	    68.75000    	    322.5000    	    68.40000    
    93.75000    	    68.75000    	    322.5000    	    70.00000    
    96.25000    	    68.75000    	    322.5000    	    67.00000    
    98.75000    	    68.75000    	    322.5000    	    64.30000    
    101.2500    	    68.75000    	    322.5000    	    57.40000    
    103.7500    	    68.75000    	    322.5000    	    49.80000    
    106.2500    	    68.75000    	    322.5000    	    47.30000    
    108.7500    	    68.75000    	    322.5000    	    49.50000    
    111.2500    	    68.75000    	    322.5000    	    52.40000    
    113.7500    	    68.75000    	    322.5000    	    50.70000    
    116.2500    	    68.75000    	    322.5000    	    52.40000    
    118.7500    	    68.75000    	    322.5000    	    50.60000    
    121.2500    	    68.75000    	    322.5000    	    50.10000    
    123.7500    	    68.75000    	    322.5000    	    53.80000    
    126.2500    	    68.75000    	    322.5000    	    60.30000    
    128.7500    	    68.75000    	    322.5000    	    60.20000    
    131.2500    	    68.75000    	    322.5000    	    58.50000    
    133.7500    	    68.75000    	    322.5000    	    51.80000    
    136.2500    	    68.75000    	    322.5000    	    54.70000    
    138.7500    	    68.75000    	    322.5000    	    64.10000    
    141.2500    	    68.75000    	    322.5000    	    60.30000    
    143.7500    	    68.75000    	    322.5000    	    54.70000    
    146.2500    	    68.75000    	    322.5000    	    61.30000    
    148.7500    	    68.75000    	    322.5000    	    62.50000    
    151.2500    	    68.75000    	    322.5000    	    62.60000    
    153.7500    	    68.75000    	    322.5000    	    59.40000    
    156.2500    	    68.75000    	    322.5000    	    61.60000    
    158.7500    	    68.75000    	    322.5000    	    64.20000    
    161.2500    	    68.75000    	    322.5000    	    64.80000    
    163.7500    	    68.75000    	    322.5000    	    66.20000    
    166.2500    	    68.75000    	    322.5000    	    72.20000    
    168.7500    	    68.75000    	    322.5000    	    72.20000    
    171.2500    	    68.75000    	    322.5000    	    71.40000    
    173.7500    	    68.75000    	    322.5000    	    67.40000    
    176.2500    	    68.75000    	    322.5000    	    67.20000    
    178.7500    	    68.75000    	    322.5000    	    64.80000    
    186.2500    	    68.75000    	    322.5000    	    27.40000    
    188.7500    	    68.75000    	    322.5000    	    30.60000    
    191.2500    	    68.75000    	    322.5000    	    27.10000    
    193.7500    	    68.75000    	    322.5000    	    26.80000    
    196.2500    	    68.75000    	    322.5000    	    53.50000    
    198.7500    	    68.75000    	    322.5000    	    61.20000    
    201.2500    	    68.75000    	    322.5000    	    61.30000    
    203.7500    	    68.75000    	    322.5000    	    56.90000    
    206.2500    	    68.75000    	    322.5000    	    61.20000    
    208.7500    	    68.75000    	    322.5000    	    61.60000    
    211.2500    	    68.75000    	    322.5000    	    58.00000    
    213.7500    	    68.75000    	    322.5000    	    52.50000    
